carrier_code,week_start_date,week_end_date,fuel_surcharge_pct
UPS,2026-01-26,2026-02-01,0.155
UPS,2026-02-02,2026-02-08,0.1585
UPS,2026-02-09,2026-02-15,0.162
UPS,2026-02-16,2026-02-22,0.1595
UPS,2026-02-23,2026-03-01,0.164
UPS,2026-03-02,2026-03-08,0.1675
UPS,2026-03-09,2026-03-15,0.171
UPS,2026-03-16,2026-03-22,0.1665
UPS,2026-03-23,2026-03-29,0.163
UPS,2026-03-30,2026-04-05,0.16
UPS,2026-04-06,2026-04-12,0.1575
UPS,2026-04-13,2026-04-19,0.161
UPS,2026-04-20,2026-04-26,0.1645
UPS,2026-04-27,2026-05-03,0.168
