carrier_code,service_level,zone,weight_tier_min_lbs,weight_tier_max_lbs,contract_base_rate_usd,effective_date,expiration_date
UPS,GROUND,2,1,1,8.62,2026-01-01,2026-12-31
UPS,GROUND,2,2,2,9.04,2026-01-01,2026-12-31
UPS,GROUND,2,3,3,9.46,2026-01-01,2026-12-31
UPS,GROUND,2,4,4,9.88,2026-01-01,2026-12-31
UPS,GROUND,2,5,5,10.3,2026-01-01,2026-12-31
UPS,GROUND,2,6,6,10.72,2026-01-01,2026-12-31
UPS,GROUND,2,7,7,11.14,2026-01-01,2026-12-31
UPS,GROUND,2,8,8,11.56,2026-01-01,2026-12-31
UPS,GROUND,2,9,9,11.98,2026-01-01,2026-12-31
UPS,GROUND,2,10,10,12.4,2026-01-01,2026-12-31
UPS,GROUND,2,11,15,14.5,2026-01-01,2026-12-31
UPS,GROUND,2,16,20,16.6,2026-01-01,2026-12-31
UPS,GROUND,2,21,25,18.7,2026-01-01,2026-12-31
UPS,GROUND,2,26,30,20.8,2026-01-01,2026-12-31
UPS,GROUND,2,31,40,25.0,2026-01-01,2026-12-31
UPS,GROUND,2,41,50,29.2,2026-01-01,2026-12-31
UPS,GROUND,2,51,70,37.6,2026-01-01,2026-12-31
UPS,GROUND,2,71,100,50.2,2026-01-01,2026-12-31
UPS,GROUND,2,101,150,71.2,2026-01-01,2026-12-31
UPS,GROUND,3,1,1,9.5,2026-01-01,2026-12-31
UPS,GROUND,3,2,2,10.05,2026-01-01,2026-12-31
UPS,GROUND,3,3,3,10.6,2026-01-01,2026-12-31
UPS,GROUND,3,4,4,11.15,2026-01-01,2026-12-31
UPS,GROUND,3,5,5,11.7,2026-01-01,2026-12-31
UPS,GROUND,3,6,6,12.25,2026-01-01,2026-12-31
UPS,GROUND,3,7,7,12.8,2026-01-01,2026-12-31
UPS,GROUND,3,8,8,13.35,2026-01-01,2026-12-31
UPS,GROUND,3,9,9,13.9,2026-01-01,2026-12-31
UPS,GROUND,3,10,10,14.45,2026-01-01,2026-12-31
UPS,GROUND,3,11,15,17.2,2026-01-01,2026-12-31
UPS,GROUND,3,16,20,19.95,2026-01-01,2026-12-31
UPS,GROUND,3,21,25,22.7,2026-01-01,2026-12-31
UPS,GROUND,3,26,30,25.45,2026-01-01,2026-12-31
UPS,GROUND,3,31,40,30.95,2026-01-01,2026-12-31
UPS,GROUND,3,41,50,36.45,2026-01-01,2026-12-31
UPS,GROUND,3,51,70,47.45,2026-01-01,2026-12-31
UPS,GROUND,3,71,100,63.95,2026-01-01,2026-12-31
UPS,GROUND,3,101,150,91.45,2026-01-01,2026-12-31
UPS,GROUND,4,1,1,10.28,2026-01-01,2026-12-31
