carrier_code,origin_zip3,dest_zip3,zone
UPS,750,100,7
UPS,750,112,7
UPS,750,191,7
UPS,750,303,6
UPS,750,331,6
UPS,750,554,5
UPS,750,606,4
UPS,750,770,3
UPS,750,802,4
UPS,750,850,4
UPS,750,900,4
UPS,750,917,5
UPS,750,941,5
UPS,750,980,5
UPS,850,100,8
UPS,850,112,8
UPS,850,191,7
UPS,850,303,7
UPS,850,331,7
UPS,850,554,5
UPS,850,606,5
UPS,850,770,4
UPS,850,802,3
UPS,850,850,2
UPS,850,900,3
UPS,850,917,4
UPS,850,941,4
UPS,850,980,4
UPS,902,100,8
UPS,902,112,8
UPS,902,191,8
UPS,902,303,7
UPS,902,331,7
UPS,902,554,6
UPS,902,606,5
UPS,902,770,4
UPS,902,802,4
UPS,902,850,4
UPS,902,900,3
UPS,902,917,3
UPS,902,941,3
UPS,902,980,4
UPS,917,100,8
UPS,917,112,8
UPS,917,191,8
UPS,917,303,7
UPS,917,331,7
UPS,917,554,6
UPS,917,606,6
UPS,917,770,4
UPS,917,802,4
UPS,917,850,4
UPS,917,900,3
UPS,917,917,2
UPS,917,941,3
UPS,917,980,4
